Label,ID,Group,factor1,factor2,Sentence,Question,AnswerA,AnswerB,Qaudio,oldpic,youngpic,objectpic,distracterpic
b01,b01a,a,doublematch,reflexive,The young boy was waiting outside the corner shop. He watched as the old man who was wearing a hat bought himself a huge box of popcorn.,"Who does ""himself"" refer to? ",The young boy,The old man,,,,,
b01,b01b,b,singlematch,reflexive,The young girl was waiting outside the corner shop. She watched as the old man who was wearing a hat bought himself a huge box of popcorn.,"Who does ""himself"" refer to? ",The young girl,The old man,,,,,
b01,b01c,c,doublematch,pronoun,The young boy was waiting outside the corner shop. He watched as the old man who was wearing a hat bought him a huge box of popcorn.,"Who does ""him"" refer to? ",The young boy,The old man,,,,,
b01,b01d,d,singlematch,pronoun,The young girl was waiting outside the corner shop. She watched as the old man who was wearing a hat bought her a huge box of popcorn.,"Who does ""her"" refer to? ",The young girl,The old man,,,,,
b02,b02a,a,doublematch,reflexive,The young boy was laying the dinner table. He asked whether the old man who was holding a cup could fetch himself a large clean plate.,"Who does ""himself"" refer to? ",The young boy,The old man,,,,,
b02,b02b,b,singlematch,reflexive,The young girl was laying the dinner table. She asked whether the old man who was holding a cup could fetch himself a large clean plate.,"Who does ""himself"" refer to? ",The young girl,The old man,,,,,
b02,b02c,c,doublematch,pronoun,The young boy was laying the dinner table. He asked whether the old man who was holding a cup could fetch him a large clean plate.,"Who does ""him"" refer to? ",The young boy,The old man,,,,,
b02,b02d,d,singlematch,pronoun,The young girl was laying the dinner table. She asked whether the old man who was holding a cup could fetch her a large clean plate.,"Who does ""her"" refer to? ",The young girl,The old man,,,,,
b03,b03a,a,doublematch,reflexive,The young boy was spending a day at the beach. He was amazed to see that the old man who was carrying a bucket had built himself a magnificent sand castle.,"Who does ""himself"" refer to? ",The young boy,The old man,,,,,
b03,b03b,b,singlematch,reflexive,The young girl was spending a day at the beach. She was amazed to see that the old man who was carrying a bucket had built himself a magnificent sand castle.,"Who does ""himself"" refer to? ",The young girl,The old man,,,,,
b03,b03c,c,doublematch,pronoun,The young boy was spending a day at the beach. He was amazed to see that the old man who was carrying a bucket had built him a magnificent sand castle.,"Who does ""him"" refer to? ",The young boy,The old man,,,,,
b03,b03d,d,singlematch,pronoun,The young girl was spending a day at the beach. She was amazed to see that the old man who was carrying a bucket had built her a magnificent sand castle.,"Who does ""her"" refer to? ",The young girl,The old man,,,,,
b04,b04a,a,doublematch,reflexive,The young boy was visiting a dairy farm. He watched as the old man who was sitting on a stool made himself some special rich cheese.,"Who does ""himself"" refer to? ",The young boy,The old man,,,,,
b04,b04b,b,singlematch,reflexive,The young girl was visiting a dairy farm. She watched as the old man who was sitting on a stool made himself some special rich cheese.,"Who does ""himself"" refer to? ",The young girl,The old man,,,,,
b04,b04c,c,doublematch,pronoun,The young boy was visiting a dairy farm. He watched as the old man who was sitting on a stool made him some special rich cheese.,"Who does ""him"" refer to? ",The young boy,The old man,,,,,
b04,b04d,d,singlematch,pronoun,The young girl was visiting a dairy farm. She watched as the old man who was sitting on a stool made her some special rich cheese.,"Who does ""her"" refer to? ",The young girl,The old man,,,,,
b05,b05a,a,doublematch,reflexive,The young boy was very interested in water sports. He wondered whether the old man who was reading a magazine had bought himself a new canoe.,"Who does ""himself"" refer to? ",The young boy,The old man,,,,,
b05,b05b,b,singlematch,reflexive,The young girl was very interested in water sports. She wondered whether the old man who was reading a magazine had bought himself a new canoe.,"Who does ""himself"" refer to? ",The young girl,The old man,,,,,
b05,b05c,c,doublematch,pronoun,The young boy was very interested in water sports. He wondered whether the old man who was reading a magazine had bought him a new canoe.,"Who does ""him"" refer to? ",The young boy,The old man,,,,,
b05,b05d,d,singlematch,pronoun,The young girl was very interested in water sports. She wondered whether the old man who was reading a magazine had bought her a new canoe.,"Who does ""her"" refer to? ",The young girl,The old man,,,,,
b06,b06a,a,doublematch,reflexive,The young boy was feeling a little peckish. He saw that the old man who was holding a nut cracker was cracking himself a huge walnut.,"Who does ""himself"" refer to? ",The young boy,The old man,,,,,
b06,b06b,b,singlematch,reflexive,The young girl was feeling a little peckish. She saw that the old man who was holding a nut cracker was cracking himself a huge walnut.,"Who does ""himself"" refer to? ",The young girl,The old man,,,,,
b06,b06c,c,doublematch,pronoun,The young boy was feeling a little peckish. He saw that the old man who was holding a nut cracker was cracking him a huge walnut.,"Who does ""him"" refer to? ",The young boy,The old man,,,,,
b06,b06d,d,singlematch,pronoun,The young girl was feeling a little peckish. She saw that the old man who was holding a nut cracker was cracking her a huge walnut.,"Who does ""her"" refer to? ",The young girl,The old man,,,,,
b07,b07a,a,doublematch,reflexive,The young girl was sitting at the kitchen table. She watched as the old woman who was a great cook made herself a large salami pizza.,"Who does ""herself"" refer to? ",The young boy,The old man,,,,,
b07,b07b,b,singlematch,reflexive,The young boy was sitting at the kitchen table. He watched as the old woman who was a great cook made herself a large salami pizza.,"Who does ""herself"" refer to? ",The young girl,The old man,,,,,
b07,b07c,c,doublematch,pronoun,The young girl was sitting at the kitchen table. She watched as the old woman who was a great cook made her a large salami pizza.,"Who does ""her"" refer to? ",The young boy,The old man,,,,,
b07,b07d,d,singlematch,pronoun,The young boy was sitting at the kitchen table. He watched as the old woman who was a great cook made him a large salami pizza.,"Who does ""him"" refer to? ",The young girl,The old man,,,,,
b08,b08a,a,doublematch,reflexive,The young girl was sitting by the swimming pool. She noticed that the old woman who was holding a red purse had bought herself a large ice cream cone.,"Who does ""herself"" refer to? ",The young boy,The old man,,,,,
b08,b08b,b,singlematch,reflexive,The young boy was sitting by the swimming pool. He noticed that the old woman who was holding a red purse had bought herself a large ice cream cone.,"Who does ""herself"" refer to? ",The young girl,The old man,,,,,
b08,b08c,c,doublematch,pronoun,The young girl was sitting by the swimming pool. She noticed that the old woman who was holding a red purse had bought her a large ice cream cone.,"Who does ""her"" refer to? ",The young boy,The old man,,,,,
b08,b08d,d,singlematch,pronoun,The young boy was sitting by the swimming pool. He noticed that the old woman who was holding a red purse had bought him a large ice cream cone.,"Who does ""him"" refer to? ",The young girl,The old man,,,,,
