Item,ID,factor1,factor2,Sentence,Question,AnswerA,AnswerB,AnswerC,AnswerD,AnswerE,Verb
b01,b01a,doublematch,reflexive,The young boy was waiting outside the corner shop. He watched as the old man who was wearing a hat bought himself a huge box of popcorn.,"Who does ""himself"" refer to? ",The young boy,More likely the young boy,Could be either,More likely the old man,The old man,buy
b02,b02d,singlematch,pronoun,The young girl was laying the dinner table. She asked whether the old man who was holding a cup could fetch her a large clean plate.,"Who does ""her"" refer to? ",The young girl,More likely the young girl,Could be either,More likely the old man,The old man,fetch
b03,b03c,doublematch,pronoun,The young boy was spending a day at the beach. He was amazed to see that the old man who was carrying a bucket had built him a magnificent sand castle.,"Who does ""him"" refer to? ",The young boy,More likely the young boy,Could be either,More likely the old man,The old man,build
b04,b04b,singlematch,reflexive,The young girl was visiting a dairy farm. She watched as the old man who was sitting on a stool made himself some special rich cheese.,"Who does ""himself"" refer to? ",The young girl,More likely the young girl,Could be either,More likely the old man,The old man,make
b05,b05a,doublematch,reflexive,The young boy was very interested in water sports. He wondered whether the old man who was reading a magazine had bought himself a new canoe.,"Who does ""himself"" refer to? ",The young boy,More likely the young boy,Could be either,More likely the old man,The old man,buy
b06,b06d,singlematch,pronoun,The young girl was feeling a little peckish. She saw that the old man who was holding a nut cracker was cracking her a huge walnut.,"Who does ""her"" refer to? ",The young girl,More likely the young girl,Could be either,More likely the old man,The old man,crack
b07,b07c,doublematch,pronoun,The young girl was sitting at the kitchen table. She watched as the old woman who was a great cook made her a large salami pizza.,"Who does ""her"" refer to? ",The young girl,More likely the young girl,Could be either,More likely the old woman,The old woman,make
b08,b08b,singlematch,reflexive,The young boy was sitting by the swimming pool. He noticed that the old woman who was holding a red purse had bought herself a large ice cream cone.,"Who does ""herself"" refer to? ",The young boy,More likely the young boy,Could be either,More likely the old woman,The old woman,buy
b09,b09a,doublematch,reflexive,The young girl was feeling very hungry. She watched as the old woman who was holding a spoon baked herself a large apple pie.,"Who does ""herself"" refer to? ",The young girl,More likely the young girl,Could be either,More likely the old woman,The old woman,bake
b10,b10d,singlematch,pronoun,The young boy watched the snow falling outside. He could hear that the old woman who was holding a shovel  was making him a log fire.,"Who does ""him"" refer to? ",The young boy,More likely the young boy,Could be either,More likely the old woman,The old woman,make
